"Repository","Repository Link","Report","Title","Paper reference","Venue","Type"
"github::codecheckers/Piccolo-2020","https://github.com/codecheckers/Piccolo-2020","http://doi.org/10.5281/zenodo.3674056","ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data.","https://doi.org/10.1093/gigascience/giaa026","GigaScience","journal"
"github::codecheckers/Reproduction-Hancock","https://github.com/codecheckers/Reproduction-Hancock","http://doi.org/10.5281/zenodo.3750741","The principal components of natural images","https://doi.org/10.1088/0954-898X_3_1_008","codecheck","community"
"github::codecheckers/covid-uk","https://github.com/codecheckers/covid-uk","http://doi.org/10.5281/zenodo.3746024","The effect of non-pharmaceutical interventions on COVID-19 cases, deaths and demand for hospital services in the UK: a modelling study","https://cmmid.github.io/topics/covid19/control-measures/report/uk_scenario_modelling_preprint_2020_04_01.pdf","preprint","community"
"github::codecheckers/2020-cov-tracing","https://github.com/codecheckers/2020-cov-tracing","http://doi.org/10.5281/zenodo.3767060","Model of isolation, contact tracing, and physical distancing (Preprint)","https://cmmid.github.io/topics/covid19/reports/bbc_contact_tracing.pdf","preprint","community"
"github::codecheckers/covid-report9","https://github.com/codecheckers/covid-report9","https://doi.org/10.5281/zenodo.3865491","Report 9: Impact of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demand. March 16, 2020.","https://doi.org/10.25561/77482","preprint","community"
"github::codecheckers/covid19model-nature","https://github.com/codecheckers/covid19model-nature","https://doi.org/10.5281/zenodo.3893138","Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe","http://doi.org/10.1038/s41586-020-2405-7","in press","community"
"github::codecheckers/covid19model-report23","https://github.com/codecheckers/covid19model-report23","https://doi.org/10.5281/zenodo.3893617","Report 23: State-level tracking of COVID-19 in the United States version 2 (28-05-2020)","https://doi.org/10.25561/79231","preprint","community"
"github::codecheckers/driftage","https://github.com/codecheckers/driftage","https://doi.org/10.5281/zenodo.4964880","Driftage: a multi-agent system framework for concept drift detection","https://doi.org/10.1093/gigascience/giab030","GigaScience","journal"
"github::codecheckers/GWR-in-educational-planning","https://github.com/codecheckers/GWR-in-educational-planning","https://doi.org/10.5281/zenodo.6040066","Geographically Weighted Regressions for prioritizing educational planning, policies, and interventions","http://www.iiep.unesco.org/en/publication/geographically-weighted-regressions-prioritizing-educational-planning-policies-and","codecheck","community"
"github::codecheckers/rmr-solver","https://github.com/codecheckers/rmr-solver","https://doi.org/10.5281/zenodo.8359199","Does enforcing glenohumeral joint stability matter? A new rapid muscle redundancy solver highlights the importance of non-superficial shoulder muscles","https://doi.org/10.1101/2023.07.11.548542","preprint","community"
"github::codecheckers/leba-manuscript","https://github.com/codecheckers/leba-manuscript","https://doi.org/10.5281/zenodo.10213244","An inventory of human light exposure related behaviour","https://doi.org/10.1038/s41598-023-48241-y","preprint","community"
"github::codecheckers/LazarEtAl_RSocOpenSci_2024","https://github.com/codecheckers/LazarEtAl_RSocOpenSci_2024","https://doi.org/10.5281/zenodo.10823246","Regulation of pupil size in natural vision across the human lifespan","https://doi.org/10.1098/rsos.191613","preprint","community"
"github::codecheckers/domestic.wastewater.variability","https://github.com/codecheckers/domestic.wastewater.variability","https://doi.org/10.5281/zenodo.FIXME","Modeling spatiotemporal domestic wastewater variability: Implications for measuring treatment efficiency","https://doi.org/10.1016/j.jenvman.2023.119680","codecheck NL","community"
"github::codecheckers/sddtmpc","https://github.com/codecheckers/sddtmpc","https://doi.org/10.5281/zenodo.11403956","State-Dependent Dynamic Tube MPC: A Novel Tube MPC Method with a Fuzzy Model of Disturbances","https://arxiv.org/pdf/2310.19997","codecheck NL","community"
"github::codecheckers/Inter_Noise2024_Codes_Acoustics_Diffusion_Equation","https://github.com/codecheckers/Inter_Noise2024_Codes_Acoustics_Diffusion_Equation","https://doi.org/10.5281/zenodo.14211707","Determination of a diffusion coefficient function for long rooms using a least square optimization approach","https://pure.tue.nl/ws/portalfiles/portal/339520759/IN_2024_3491.pdf","codecheck NL","community"
"github::codecheckers/ZaunerEtAl_PLoS_ONE_2024","https://github.com/codecheckers/ZaunerEtAl_PLoS_ONE_2024","https://doi.org/10.5281/zenodo.14235113","Power analysis for personal light exposure measurements and interventions","https://doi.org/10.1371/journal.pone.0308768","codecheck NL","community"
"github::codecheckers/Hathway-Goodman-2018","https://github.com/codecheckers/Hathway-Goodman-2018","https://doi.org/10.53962/nsys-9a40","[Re] Spike Timing Dependent Plasticity Finds the Start of Repeating Patterns in Continuous Spike Trains","https://doi.org/10.5281/zenodo.1327348","codecheck","community"
