"Certificate ID","Certificate Link","Repository","Repository Link","Report","Title","Paper reference","Check date"
"2024-002","https://codecheck.org.uk/register/certs/2024-002/","github::codecheckers/domestic.wastewater.variability","https://github.com/codecheckers/domestic.wastewater.variability","https://doi.org/10.5281/zenodo.FIXME","Modeling spatiotemporal domestic wastewater variability: Implications for measuring treatment efficiency","https://doi.org/10.1016/j.jenvman.2023.119680","2020-05-21"
"2024-003","https://codecheck.org.uk/register/certs/2024-003/","github::codecheckers/sddtmpc","https://github.com/codecheckers/sddtmpc","https://doi.org/10.5281/zenodo.11403956","State-Dependent Dynamic Tube MPC: A Novel Tube MPC Method with a Fuzzy Model of Disturbances","https://arxiv.org/pdf/2310.19997","2024-05-30"
"2024-014","https://codecheck.org.uk/register/certs/2024-014/","osf::spxt5","https://osf.io/spxt5","https://doi.org/10.17605/OSF.IO/spxt5","CY-Bench : A comprehensive benchmark dataset for sub-national crop yield forecasting","https://www.overleaf.com/read/znytpcwfjrrf#a4ca1f","2024-09-26"
"2024-015","https://codecheck.org.uk/register/certs/2024-015/","osf::mwbuq","https://osf.io/mwbuq","https://doi.org/10.17605/OSF.IO/mwbuq","Landscape Character Assessment - Nigeria","https://doi.org/10.17605/OSF.IO/E2K73","2024-09-26"
"2024-016","https://codecheck.org.uk/register/certs/2024-016/","osf::6ngyc","https://osf.io/6ngyc","https://doi.org/10.17605/OSF.IO/6NGYC","Integrating agent-based disease, mobility, and wastewater models: Dealing with differences in spatiotemporal resolutions","https://doi.org/10.5281/zenodo.13734819","2024-09-26"
"2024-017","https://codecheck.org.uk/register/certs/2024-017/","github::codecheckers/Inter_Noise2024_Codes_Acoustics_Diffusion_Equation","https://github.com/codecheckers/Inter_Noise2024_Codes_Acoustics_Diffusion_Equation","https://doi.org/10.5281/zenodo.14211707","Determination of a diffusion coefficient function for long rooms using a least square optimization approach","https://pure.tue.nl/ws/portalfiles/portal/339520759/IN_2024_3491.pdf","2024-11-22"
"2024-018","https://codecheck.org.uk/register/certs/2024-018/","github::codecheckers/ZaunerEtAl_PLoS_ONE_2024","https://github.com/codecheckers/ZaunerEtAl_PLoS_ONE_2024","https://doi.org/10.5281/zenodo.14235113","Power analysis for personal light exposure measurements and interventions","https://doi.org/10.1371/journal.pone.0308768","2024-11-28"
"2024-019","https://codecheck.org.uk/register/certs/2024-019/","github::codecheckers/wearable-hrv","https://github.com/codecheckers/wearable-hrv","https://doi.org/10.5281/zenodo.14279041","Quality in Question: Assessing the accuracy of four heart rate wearables and the implications for psychophysiological research.","https://doi.org/10.31219/osf.io/wkzsn","2024-12-04"
"2024-020","https://codecheck.org.uk/register/certs/2024-020/","github::codecheckers/codecheck_LangtonRuiterVerlaan2022","https://github.com/codecheckers/codecheck_LangtonRuiterVerlaan2022","https://doi.org/10.5281/zenodo.14278912","Describing the scale and composition of calls for police service: a replication and extension using open data","https://doi.org/10.1080/15614263.2022.2102494","2024-11-28"
"2024-021","https://codecheck.org.uk/register/certs/2024-021/","github::codecheckers/DementiaPhysicalActivity","https://github.com/codecheckers/DementiaPhysicalActivity","https://doi.org/10.5281/zenodo.14261193","Using Consumer Wearables to Measure Physical Activity of Nursing Home Residents with Dementia","https://doi.org/10.31234/osf.io/mqg86","2024-11-28"
"2024-022","https://codecheck.org.uk/register/certs/2024-022/","github::codecheckers/DEISM","https://github.com/codecheckers/DEISM","http://doi.org/10.5281/zenodo.14273316","Simulating room transfer functions between transducers mounted on audio devices using a modified image source method","https://doi.org/10.1121/10.0023935","2024-12-05"
"2024-023","https://codecheck.org.uk/register/certs/2024-023/","zenodo::14900193","https://zenodo.org/records/14900193","https://doi.org/10.5281/zenodo.14900193","Influence of the cochlear partition’s flexibility on the macro mechanisms in the inner ear","https://doi.org/10.1016/j.heares.2024.109127","2024-11-08"
"2024-025","https://codecheck.org.uk/register/certs/2024-025/","zenodo::15025861","https://zenodo.org/records/15025861","https://doi.org/10.5281/zenodo.15023714","Determination of a diffusion coefficient function for long rooms using a least square optimization approach","https://pure.tue.nl/ws/portalfiles/portal/339520759/IN_2024_3491.pdf","2024-11-08"
"2025-001","https://codecheck.org.uk/register/certs/2025-001/","github::codecheckers/mb11CalculusPilot","https://github.com/codecheckers/mb11CalculusPilot","https://doi.org/10.5281/zenodo.15389126","Multiproxy analysis exploring patterns of diet and disease in dental calculus and skeletal remains from a 19th century Dutch population","https://doi.org/10.24072/pcjournal.414","2025-02-14"
"2025-002","https://codecheck.org.uk/register/certs/2025-002/","github::codecheckers/EvalSubtitle","https://github.com/codecheckers/EvalSubtitle","https://doi.org/10.5281/zenodo.15173758","Evaluating Subtitle Segmentation for End-to-end Generation systems","https://aclanthology.org/2022.lrec-1.328/","2025-02-14"
