"Certificate","Repository","Type","Venue","Issue"
"2020-002","github::codecheckers/Reproduction-Hancock","community","codecheck",2
"2020-003","github::codecheckers/Hopfield-1982","community","codecheck",1
"2020-004","github::codecheckers/Barto-Sutton-Anderson-1983","community","codecheck",4
"2020-005","github::codecheckers/Larisch-reproduction","community","codecheck",5
"2020-006","github::codecheckers/Detorakis-reproduction","community","codecheck",6
"2020-008","github::codecheckers/covid-uk","community","preprint",8
"2020-009","github::codecheckers/2020-cov-tracing","community","preprint",9
"2020-010","github::codecheckers/covid-report9","community","preprint",14
"2020-011","github::codecheckers/covid19model-nature","community","in press",18
"2020-012","github::codecheckers/covid19model-report23","community","preprint",19
"2020-013","github::codecheckers/Spitschan2020_bioRxiv","community","preprint",20
"2020-014","github::codecheckers/Sadeh-and-Clopath","community","codecheck",21
"2020-015","github::codecheckers/Liou-and-Bateman","community","codecheck",22
"2021-001","github::codecheckers/causality-review","community","preprint",35
"2022-001","github::codecheckers/GWR-in-educational-planning","community","codecheck",40
"2023-011","github::codecheckers/rmr-solver","community","preprint",56
"2023-012","github::codecheckers/leba-manuscript","community","preprint",59
"2024-001","github::codecheckers/LazarEtAl_RSocOpenSci_2024","community","preprint",60
"2024-002","github::codecheckers/domestic.wastewater.variability","community","codecheck NL",61
"2024-003","github::codecheckers/sddtmpc","community","codecheck NL",66
