"Certificate","Repository","Issue"
"2020-018","github::reproducible-agile/AGILECA",25
"2020-019","osf::5SVMT",25
"2020-020","osf::7TWR2",25
"2020-021","github::reproducible-agile/Spatial-nominal-entity-recognition",25
"2020-022","osf::7XRQG",25
"2020-023","github::reproducible-agile/Tracking-Hurricane-Dorian-in-GDELT-and-Twitter",25
"2021-002","osf::rsf4m",38
"2021-003","osf::dx92a",38
"2021-004","osf::2sc7g",38
"2021-005","osf::7fqtm",38
"2021-006","osf::4cpm3",38
"2021-007","osf::anv9r",38
"2021-008","osf::g4dcq",38
"2021-009","osf::rdnyu",38
"2021-010","osf::bdu28",38
"2022-002","osf::Z7P8K",41
"2022-003","osf::JDTN3",41
"2022-004","osf::XPG6Y",41
"2022-005","osf::CDFAH",41
"2022-006","osf::W7VPH",41
"2022-007","osf::3DSMV",41
"2022-008","osf::K78EB",41
"2022-009","osf::94VNX",41
"2022-010","osf::8B7MR",41
"2022-011","osf::KF8SR",41
"2022-012","osf::R6PSQ",41
"2022-013","osf::3G9S8",41
"2022-014","osf::6S2GP",41
"2022-015","osf::MVQCW",41
"2022-016","osf::DJFC2",41
"2022-017","osf::WNCSM",41
"2023-001","osf::c7vx3",49
"2023-002","osf::rbgvk",49
"2023-003","osf::m5bhk",49
"2023-004","osf::2em7v",49
"2023-005","osf::27wzp",49
"2023-006","osf::d2shf",49
"2023-007","osf::eu8kw",49
"2023-008","osf::aqgxr",49
"2023-009","osf::9kp7u",49
"2023-010","osf::8t3bh",4
