"Certificate","Repository","Type","Venue","Issue"
"2020-018","github::reproducible-agile/AGILECA","conference","AGILEGIS",25
"2020-019","osf::5SVMT","conference","AGILEGIS",25
"2020-020","osf::7TWR2","conference","AGILEGIS",25
"2020-021","github::reproducible-agile/Spatial-nominal-entity-recognition","conference","AGILEGIS",25
"2020-022","osf::7XRQG","conference","AGILEGIS",25
"2020-023","github::reproducible-agile/Tracking-Hurricane-Dorian-in-GDELT-and-Twitter","conference","AGILEGIS",25
"2021-002","osf::rsf4m","conference","AGILEGIS",38
"2021-003","osf::dx92a","conference","AGILEGIS",38
"2021-004","osf::2sc7g","conference","AGILEGIS",38
"2021-005","osf::7fqtm","conference","AGILEGIS",38
"2021-006","osf::4cpm3","conference","AGILEGIS",38
"2021-007","osf::anv9r","conference","AGILEGIS",38
"2021-008","osf::g4dcq","conference","AGILEGIS",38
"2021-009","osf::rdnyu","conference","AGILEGIS",38
"2021-010","osf::bdu28","conference","AGILEGIS",38
"2022-002","osf::Z7P8K","conference","AGILEGIS",41
"2022-003","osf::JDTN3","conference","AGILEGIS",41
"2022-004","osf::XPG6Y","conference","AGILEGIS",41
"2022-005","osf::CDFAH","conference","AGILEGIS",41
"2022-006","osf::W7VPH","conference","AGILEGIS",41
"2022-007","osf::3DSMV","conference","AGILEGIS",41
"2022-008","osf::K78EB","conference","AGILEGIS",41
"2022-009","osf::94VNX","conference","AGILEGIS",41
"2022-010","osf::8B7MR","conference","AGILEGIS",41
"2022-011","osf::KF8SR","conference","AGILEGIS",41
"2022-012","osf::R6PSQ","conference","AGILEGIS",41
"2022-013","osf::3G9S8","conference","AGILEGIS",41
"2022-014","osf::6S2GP","conference","AGILEGIS",41
"2022-015","osf::MVQCW","conference","AGILEGIS",41
"2022-016","osf::DJFC2","conference","AGILEGIS",41
"2022-017","osf::WNCSM","conference","AGILEGIS",41
"2023-001","osf::c7vx3","conference","AGILEGIS",49
"2023-002","osf::rbgvk","conference","AGILEGIS",49
"2023-003","osf::m5bhk","conference","AGILEGIS",49
"2023-004","osf::2em7v","conference","AGILEGIS",49
"2023-005","osf::27wzp","conference","AGILEGIS",49
"2023-006","osf::d2shf","conference","AGILEGIS",49
"2023-007","osf::eu8kw","conference","AGILEGIS",49
"2023-008","osf::aqgxr","conference","AGILEGIS",49
"2023-009","osf::9kp7u","conference","AGILEGIS",49
"2023-010","osf::8t3bh","conference","AGILEGIS",49
