orcid,wikidata
0000-0001-5087-8776,Q58427486
0000-0001-5361-2885,Q55834001
0000-0001-5374-2364,Q60584413
0000-0001-5677-5209,Q55174596
0000-0001-5679-6536,Q56854915
0000-0001-5704-0212,Q80656122
0000-0001-5891-1702,Q103811805
0000-0001-5951-6835,Q105978989
0000-0001-6039-7810,Q126689763
0000-0001-6069-5324,Q56855932
0000-0001-6110-5453,Q91522370
0000-0001-6491-7430,Q29401823
0000-0001-6594-4481,Q126454874
0000-0001-7383-3095,Q60328770
0000-0001-7794-8308,Q126683112
0000-0001-7806-9583,Q59600868
0000-0001-7972-5634,Q91158871
0000-0001-8159-5461,Q41047647
0000-0001-8350-8093,Q41625599
0000-0001-8509-1973,Q2743197
0000-0001-8607-8025,Q38324721
0000-0001-8906-7559,Q86440112
0000-0001-8932-4703,Q130815397
0000-0001-9253-4517,Q46213082
0000-0001-9738-4060,Q124218162
0000-0001-9867-6196,Q51687039
0000-0002-0007-5972,Q124394392
0000-0002-0024-5046,Q58427631
0000-0002-0204-5101,Q125777905
0000-0002-0369-7099,Q126486608
0000-0002-0419-7002,Q59554899
0000-0002-0453-8743,Q105672983
0000-0002-0504-9677,Q100995690
0000-0002-0510-3549,Q102428826
0000-0002-0782-6740,Q60646303
0000-0002-0882-1036,Q30524339
0000-0002-0891-4611,Q56788604
0000-0002-0951-7116,Q57155586
0000-0002-0955-7572,Q56425988
0000-0002-1093-3416,Q61830012
0000-0002-1101-1333,Q64918052
0000-0002-1102-8506,Q30348326
0000-0002-1154-8093,Q54209622
0000-0002-1279-0367,Q30124885
0000-0002-1590-9546,Q123999348
0000-0002-1628-3231,Q95605145
0000-0002-1681-7635,Q136965950
0000-0002-1769-6310,Q60657855
0000-0002-1790-2719,Q56520487
0000-0002-2233-6926,Q57691095
0000-0002-2267-4810,Q133594839
0000-0002-2389-3783,Q135312091
0000-0002-2397-6052,Q94462919
0000-0002-2399-1797,Q57891562
0000-0002-2556-5230,Q123865053
0000-0002-2613-8046,Q84973872
0000-0002-2648-4790,Q46033665
0000-0002-2811-1920,Q130815084
0000-0002-2840-7561,Q122958130
0000-0002-2923-4199,Q42306018
0000-0002-2978-5724,Q133455554
0000-0002-3071-5563,Q88427402
0000-0002-3212-8864,Q137067014
0000-0002-3389-7585,Q126689766
0000-0002-3403-6939,Q54552757
0000-0002-3612-1934,Q96028395
0000-0002-3652-7846,Q56432897
0000-0002-3856-2936,Q58477135
0000-0002-4112-841X,Q90962041
0000-0002-4199-8976,Q59830899
0000-0002-4344-2189,Q49264318
0000-0002-5101-5793,Q130983967
0000-0002-5736-4679,Q92297137
0000-0002-5928-9238,Q84177149
0000-0002-6080-1323,Q139272960
0000-0002-6376-7212,Q57061202
0000-0002-6438-6331,Q47502299
0000-0002-6446-1901,Q137056329
0000-0002-6459-0682,Q102675225
0000-0002-6477-0683,Q123014245
0000-0002-6506-9522,Q102371704
0000-0002-6656-8809,Q21264434
0000-0002-6693-2316,Q59685494
0000-0002-6951-8022,Q130314361
0000-0002-7010-8370,Q131695308
0000-0002-7064-8238,Q94512299
0000-0002-7171-492X,Q83174749
0000-0002-7205-7431,Q30513840
0000-0002-7508-6078,Q28842555
0000-0002-7818-7309,Q114054915
0000-0002-7964-4110,Q85695819
0000-0002-8000-628X,Q123784470
0000-0002-8160-7634,Q133825172
0000-0002-8343-6613,Q58593733
0000-0002-8381-0863,Q127868083
0000-0002-8381-3749,Q91223085
0000-0002-8533-6042,Q91579899
0000-0002-8572-9268,Q48095271
0000-0002-8610-2563,Q133395828
0000-0002-8910-9445,Q130802979
0000-0002-8936-0365,Q57449034
0000-0002-9028-681X,Q97591213
0000-0002-9120-4003,Q85363679
0000-0002-9304-0719,Q89467155
0000-0002-9317-8291,Q63615175
0000-0002-9724-820X,Q55993046
0000-0002-9837-0207,Q88111068
0000-0003-0319-5627,Q57904983
0000-0003-0444-5587,Q89008433
0000-0003-0554-734X,Q126285684
0000-0003-0844-9390,Q96120753
0000-0003-1004-9695,Q56810266
0000-0003-1007-6474,Q63659480
0000-0003-1623-1340,Q131113726
0000-0003-1637-0092,Q134243045
0000-0003-1759-7379,Q133427646
0000-0003-1802-7511,Q133730116
0000-0003-1825-9996,Q42389552
0000-0003-2171-4566,Q136583826
0000-0003-2177-7882,Q58437083
0000-0003-2260-2777,Q124003667
0000-0003-2338-4564,Q56433929
0000-0003-2392-6140,Q16175302
0000-0003-2540-4741,Q60963008
0000-0003-2615-8757,Q85927287
0000-0003-2716-9247,Q61821812
0000-0003-2872-2710,Q87101730
0000-0003-3073-3734,Q82586778
0000-0003-3272-8568,Q56517487
0000-0003-4217-1580,Q90498237
0000-0003-4254-1780,Q56850200
0000-0003-4323-4643,Q86846981
0000-0003-4324-5350,Q95300076
0000-0003-4386-4450,Q91522366
0000-0003-4507-8648,Q49268055
0000-0003-4669-3298,Q133499226
0000-0003-4851-3676,Q90584852
0000-0003-4916-9838,Q55810174
0009-0000-7923-3357,Q126485410
0009-0001-3200-7202,Q126454727
0009-0003-1968-887X,Q130841679
0009-0005-1501-8398,Q126454796
0009-0008-7082-7122,Q130902643
0009-0008-8406-2028,Q135113599
